Transportation Mode,Earnings Bracket,Value
"Car, Truck, or Van - Drove Alone","$1 to $9,999 or loss",9330559
"Car, Truck, or Van - Drove Alone","$10,000 to $14,999",5144909
"Car, Truck, or Van - Drove Alone","$15,000 to $24,999",10731449
"Car, Truck, or Van - Drove Alone","$25,000 to $34,999",12977755
"Car, Truck, or Van - Drove Alone","$35,000 to $49,999",19305876
"Car, Truck, or Van - Drove Alone","$50,000 to $64,999",16430128
"Car, Truck, or Van - Drove Alone","$65,000 to $74,999",7673675
"Car, Truck, or Van - Drove Alone","$75,000 or more",30773302
"Car, Truck, or Van - Carpooled","$1 to $9,999 or loss",1969381
"Car, Truck, or Van - Carpooled","$10,000 to $14,999",914582
"Car, Truck, or Van - Carpooled","$15,000 to $24,999",1912526
"Car, Truck, or Van - Carpooled","$25,000 to $34,999",2128969
"Car, Truck, or Van - Carpooled","$35,000 to $49,999",2594555
"Car, Truck, or Van - Carpooled","$50,000 to $64,999",1792437
"Car, Truck, or Van - Carpooled","$65,000 to $74,999",737250
"Car, Truck, or Van - Carpooled","$75,000 or more",2558210
Public Transportation (excluding taxicab),"$1 to $9,999 or loss",589616
Public Transportation (excluding taxicab),"$10,000 to $14,999",315881
Public Transportation (excluding taxicab),"$15,000 to $24,999",629959
Public Transportation (excluding taxicab),"$25,000 to $34,999",661479
Public Transportation (excluding taxicab),"$35,000 to $49,999",778592
Public Transportation (excluding taxicab),"$50,000 to $64,999",596128
Public Transportation (excluding taxicab),"$65,000 to $74,999",294617
Public Transportation (excluding taxicab),"$75,000 or more",1868704
"Taxicab, Motorcycle, Bicycle, Walked, or Other Means","$1 to $9,999 or loss",1372898
"Taxicab, Motorcycle, Bicycle, Walked, or Other Means","$10,000 to $14,999",548786
"Taxicab, Motorcycle, Bicycle, Walked, or Other Means","$15,000 to $24,999",939471
"Taxicab, Motorcycle, Bicycle, Walked, or Other Means","$25,000 to $34,999",900105
"Taxicab, Motorcycle, Bicycle, Walked, or Other Means","$35,000 to $49,999",954867
"Taxicab, Motorcycle, Bicycle, Walked, or Other Means","$50,000 to $64,999",665880
"Taxicab, Motorcycle, Bicycle, Walked, or Other Means","$65,000 to $74,999",295260
"Taxicab, Motorcycle, Bicycle, Walked, or Other Means","$75,000 or more",1548455
Worked from Home,"$1 to $9,999 or loss",1512479
Worked from Home,"$10,000 to $14,999",813935
Worked from Home,"$15,000 to $24,999",1424288
Worked from Home,"$25,000 to $34,999",1526800
Worked from Home,"$35,000 to $49,999",2582735
Worked from Home,"$50,000 to $64,999",2662464
Worked from Home,"$65,000 to $74,999",1456119
Worked from Home,"$75,000 or more",10502520
